Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.0798,230.5,966.7169,4.194,0.000193343
0.08,249.5,1046.403,4.194,0.000209281
0.0802,248.5,1042.209,4.194,0.000208442
0.0804,239.5,1004.463,4.194,0.000200893
0.0806,227.5,953.7938,4.194,0.000190827
0.0808,245.5,1029.5043,4.194,0.000205925
0.081,246.5,1033.6978,4.194,0.000206764
0.0812,243.5,1021.1172,4.194,0.000204248
0.0814,225.5,945.6343,4.194,0.000189149
0.0816,225,943.5375,4.194,0.00018873
0.0818,226.5,949.8278,4.194,0.000189988
0.082,227,951.9245,4.194,0.000190408
0.0822,228.5,958.2148,4.194,0.000191666
0.0824,265.5,1113.3743,4.194,0.000222701
0.0826,273.5,1146.9222,4.194,0.000229412
0.0828,272,1140.632,4.194,0.000228154
0.083,254,1065.149,4.194,0.000213055
0.0832,259.5,1088.2133,4.194,0.000217669
0.0834,275.5,1155.3092,4.194,0.000231089
0.0836,275,1153.2125,4.194,0.00023067
0.0838,259,1086.1165,4.194,0.000217249
0.084,265.5,1113.3743,4.194,0.000222701
0.0842,281,1178.3735,4.194,0.000235703
0.0844,278,1165.793,4.194,0.000233186
0.0846,265.5,1113.3743,4.194,0.000222701
0.0848,256.5,1075.6328,4.194,0.000215152
0.085,275,1153.35,4.194,0.00023067
0.0852,276,1157.406,4.194,0.000231509
0.0854,272,1140.7679,4.194,0.000228154
0.0856,257.5,1079.8263,4.194,0.000215991
0.0858,276.5,1159.641,4.194,0.000231928
0.086,277.5,1163.6963,4.194,0.000232767
0.0862,273.5,1146.9222,4.194,0.000229412
0.0864,255.5,1071.1837,4.194,0.000214313
0.0866,275.5,1155.3092,4.194,0.000231089
0.0868,271.5,1138.6709,4.194,0.000227734
0.087,249,1044.1815,4.194,0.000208861
0.0872,233,976.6196,4.194,0.00019544
0.0874,342,1434.3479,4.194,0.00028687
0.0876,386.5,1620.7877,4.194,0.000324196
0.0878,415.5,1741.9838,4.194,0.000348521
0.088,404,1692.9619,4.194,0.000338875
0.0882,532,2230.4102,4.194,0.000446242
0.0884,567.5,2379.8113,4.194,0.000476019
0.0886,534,2238.7952,4.194,0.000447919
0.0888,485,2033.8475,4.194,0.000406818
0.089,446,1869.8551,4.194,0.000374105
0.0892,453,1900.3351,4.194,0.000379976
0.0894,356,1493.064,4.194,0.000298613
0.0896,339.5,1423.8629,4.194,0.000284773
0.0898,355.5,1490.4338,4.194,0.000298193
0.09,375,1572.5625,4.194,0.00031455
0.0902,427,1790.6245,4.194,0.000358168
0.0904,431,1807.3986,4.194,0.000361523
0.0906,374.5,1570.0913,4.194,0.000314131
0.0908,404,1694.1741,4.194,0.000338875
0.091,414,1735.6951,4.194,0.000347263
0.0912,328,1375.468,4.194,0.000275126
0.0914,273,1144.8256,4.194,0.000228992
0.0916,291.5,1222.4053,4.194,0.00024451
0.0918,298,1249.365,4.194,0.000249962
0.092,307,1287.0975,4.194,0.000257512
0.0922,359,1505.4666,4.194,0.000301129
0.0924,403.5,1691.6738,4.194,0.000338456
0.0926,454.5,1905.4913,4.194,0.000381235
0.0928,468,1963.728,4.194,0.000392558
0.093,317.5,1331.1188,4.194,0.000266319
0.0932,336.5,1410.7762,4.194,0.000282256
0.0934,286.5,1201.4377,4.194,0.000240316
0.0936,293,1228.6956,4.194,0.000245768
0.0938,291,1219.7266,4.194,0.000244091
0.094,259.5,1088.6025,4.194,0.000217669
0.0942,167.5,702.4113,4.194,0.000140499
0.0944,165,692.175,4.194,0.000138402
0.0946,144.5,605.9608,4.194,0.000121207
0.0948,161,675.1535,4.194,0.000135047
0.095,166.5,698.301,4.194,0.00013966
0.0952,166.5,698.4675,4.194,0.00013966
0.0954,146.5,614.3478,4.194,0.000122884
0.0956,158,662.573,4.194,0.00013253
0.0958,166.5,698.2178,4.194,0.00013966
0.096,166,696.121,4.194,0.000139241
0.0962,149,624.9059,4.194,0.000124981
0.0964,155,650.225,4.194,0.000130014
0.0966,166,696.121,4.194,0.000139241
0.0968,165,691.9275,4.194,0.000138402
0.097,151,633.2185,4.194,0.000126659
0.0972,150,629.1,4.194,0.00012582
0.0974,163,683.6219,4.194,0.000136724
0.0976,162.5,681.4438,4.194,0.000136305
0.0978,159.5,668.943,4.194,0.000133789
0.098,140,587.09,4.194,0.000117432
0.0982,160.5,673.2975,4.194,0.000134627
0.0984,147.5,618.615,4.194,0.000123723
0.0986,146,612.324,4.194,0.000122465
0.0988,158,662.573,4.194,0.00013253
0.099,189.5,794.6683,4.194,0.000158953
0.0992,191.5,803.1509,4.194,0.00016063
0.0994,189,792.855,4.194,0.000158533
0.0996,168,704.34,4.194,0.000140918
0.0998,189.5,794.6683,4.194,0.000158953
0.1,201.5,844.9902,4.194,0.000169018
0.1002,208,872.5601,4.194,0.00017447
0.1004,179,750.726,4.194,0.000150145
0.1006,203.5,853.4789,4.194,0.000170696
0.1008,211.5,886.9252,4.194,0.000177406
0.101,221,926.874,4.194,0.000185375
0.1012,225.5,945.7469,4.194,0.000189149
0.1014,232.5,974.9888,4.194,0.000195021
0.1016,247,1035.7946,4.194,0.000207184
0.1018,254.5,1067.2457,4.194,0.000213475
0.102,238,998.1719,4.194,0.000199634
0.1022,237.5,995.9562,4.194,0.000199215
0.1024,248,1039.988,4.194,0.000208022
0.1026,249,1044.1815,4.194,0.000208861
0.1028,237,993.978,4.194,0.000198796
0.103,231.5,970.7953,4.194,0.000194182
0.1032,247.5,1037.8912,4.194,0.000207603
0.1034,237,993.978,4.194,0.000198796
0.1036,212,889.1279,4.194,0.000177826
0.1038,199,834.5065,4.194,0.000166921
0.104,218.5,916.6075,4.194,0.000183278
0.1042,218.5,916.2798,4.194,0.000183278
0.1044,214,897.5159,4.194,0.000179503
0.1046,197.5,828.0188,4.194,0.000165663
0.1048,218.5,916.2798,4.194,0.000183278
0.105,219.5,920.4733,4.194,0.000184117
0.1052,216.5,908.2175,4.194,0.0001816
0.1054,197.5,828.0188,4.194,0.000165663
0.1056,217,909.9895,4.194,0.00018202
0.1058,220,922.6799,4.194,0.000184536
0.106,218,914.2919,4.194,0.000182858
0.1062,198,830.1151,4.194,0.000166082
0.1064,217.5,912.0862,4.194,0.000182439
0.1066,220.5,924.6667,4.194,0.000184955
0.1068,219,918.705,4.194,0.000183697
0.107,200,838.7,4.194,0.00016776
0.1072,212.5,891.225,4.194,0.000178245
0.1074,224,939.344,4.194,0.000187891
0.1076,240,1006.2,4.194,0.000201312
0.1078,282.5,1184.6638,4.194,0.000236961
0.108,315,1320.6376,4.194,0.000264222
0.1082,328,1375.468,4.194,0.000275126
0.1084,338.5,1419.6689,4.194,0.000283934
0.1086,333,1396.4355,4.194,0.00027932
0.1088,373,1564.3619,4.194,0.000312872
0.109,429,1799.0115,4.194,0.000359845
0.1092,420,1761.27,4.194,0.000352296
0.1094,362,1518.047,4.194,0.000303646
0.1096,354,1484.145,4.194,0.000296935
0.1098,384.5,1612.4008,4.194,0.000322519
0.11,364.5,1528.1663,4.194,0.000305743
0.1102,294,1233.3301,4.194,0.000246607
0.1104,202.5,849.1838,4.194,0.000169857
0.1106,219.5,920.4733,4.194,0.000184117
0.1108,220,922.57,4.194,0.000184536
0.111,214,897.409,4.194,0.000179503
0.1112,202,847.087,4.194,0.000169438
0.1114,215,901.6025,4.194,0.000180342
0.1116,203.5,853.3773,4.194,0.000170696
0.1118,171,717.174,4.194,0.000143435
0.112,149.5,626.7787,4.194,0.000125401
0.1122,171.5,719.0138,4.194,0.000143854
0.1124,182,763.308,4.194,0.000152662
0.1126,174,729.756,4.194,0.000145951
0.1128,147.5,618.5413,4.194,0.000123723
0.113,163.5,685.7189,4.194,0.000137144
0.1132,166.5,698.2178,4.194,0.00013966
0.1134,164,687.98,4.194,0.000137563
0.1136,150.5,631.197,4.194,0.000126239
0.1138,157,658.4579,4.194,0.000131692
0.114,164,687.734,4.194,0.000137563
0.1142,163.5,685.8825,4.194,0.000137144
0.1144,150,629.025,4.194,0.00012582
0.1146,141,591.3539,4.194,0.000118271
0.1148,144.5,605.9608,4.194,0.000121207
0.115,145,608.1299,4.194,0.000121626
0.1152,144.5,605.9608,4.194,0.000121207
0.1154,164.5,689.8307,4.194,0.000137983
0.1156,190.5,798.8618,4.194,0.000159791
0.1158,190,796.765,4.194,0.000159372
0.116,182.5,765.405,4.194,0.000153081
0.1162,167.5,702.4113,4.194,0.000140499
0.1164,191,800.7675,4.194,0.000160211
0.1166,193,809.3455,4.194,0.000161888
0.1168,187.5,786.5626,4.194,0.000157275
0.117,171.5,719.1852,4.194,0.000143854
0.1172,203.5,853.1738,4.194,0.000170696
0.1174,282.5,1184.8049,4.194,0.000236961
0.1176,287.5,1205.6312,4.194,0.000241155
0.1178,289.5,1213.7288,4.194,0.000242833
0.118,309,1295.7915,4.194,0.000259189
0.1182,322,1350.4679,4.194,0.000270094
0.1184,277.5,1164.1125,4.194,0.000232767
0.1186,199,834.5065,4.194,0.000166921
