Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.1106,793.5,3325.9553,4.1915
0.1108,804.5,3372.8665,4.1925
0.1110,700.5,2936.146,4.1915
0.1112,776,3252.6042,4.1915
0.1114,744,3119.9641,4.1935
0.1116,584.5,2450.5164,4.1925
0.1118,504,2113.7759,4.194
0.1120,320,1341.6001,4.1925
0.1122,346.5,1452.0082,4.1905
0.1124,464,1945.3201,4.1925
0.1126,494,2071.095,4.1925
0.1128,482,2019.5801,4.19
0.1130,729,3058.155,4.195
0.1132,660,2767.71,4.1935
0.1134,578,2423.2651,4.1925
0.1136,697.5,2924.2688,4.1925
0.1138,748.5,3138.8347,4.1935
0.1140,599,2511.9065,4.1935
0.1142,509,2133.9827,4.1925
0.1144,683.5,2865.5737,4.1925
0.1146,852,3572.01,4.1925
0.1148,881.5,3697.0107,4.194
0.1150,749,3140.9316,4.1935
0.1152,551,2310.0676,4.1925
0.1154,503,2107.5701,4.19
0.1156,624.5,2620.4021,4.196
0.1158,464.5,1947.4163,4.1925
0.1160,427.5,1792.2938,4.1925
0.1162,449,1881.3101,4.19
0.1164,675,2828.5874,4.1905
0.1166,620,2599.3501,4.1925
0.1168,510.5,2140.7817,4.1935
0.1170,362.5,1519.7812,4.1925
0.1172,297.5,1247.5663,4.1935
0.1174,273,1144.5525,4.1925
0.1176,275.5,1155.998,4.196
0.1178,203.5,853.1738,4.1925
0.1180,235,985.2375,4.1925
0.1182,353,1479.5996,4.1915
0.1184,369.5,1549.6829,4.194
0.1186,408.5,1711.615,4.19
0.1188,624.5,2619.1528,4.194
0.1190,484,2029.17,4.1925
0.1192,476,1996.1061,4.1935
0.1194,555.5,2330.8782,4.196
0.1196,528,2214.4319,4.194
0.1198,525,2201.5874,4.1935
0.1200,452,1896.1401,4.195
0.1202,363.5,1523.0651,4.19
0.1204,548.5,2299.0378,4.1915
0.1206,697.5,2926.71,4.196
0.1208,531,2226.2175,4.1925
0.1210,520.5,2181.6758,4.1915
0.1212,551,2308.9653,4.1905
0.1214,708,2970.7681,4.196
0.1216,499.5,2094.6533,4.1935
0.1218,430.5,1805.3018,4.1935
0.1220,381.5,1598.485,4.19
0.1222,700,2934.75,4.1925
0.1224,631.5,2649.1426,4.195
0.1226,432.5,1813.6887,4.1935
0.1228,374,1567.6211,4.1915
0.1230,470,1968.8301,4.189
0.1232,739,3098.2576,4.1925
0.1234,698.5,2928.4614,4.1925
0.1236,671.5,2815.2639,4.1925
0.1238,752.5,3159.3713,4.1985
0.1240,408,1711.5601,4.195
0.1242,237.5,996.075,4.194
0.1244,213,893.0025,4.1925
0.1246,212,889.022,4.1935
0.1248,233,977.0855,4.1935
0.1250,239.5,1004.1038,4.1925
0.1252,220,922.57,4.1935
0.1254,213.5,895.3123,4.1935
0.1256,232,972.892,4.1935
0.1258,230,964.505,4.1935
0.1260,222,930.957,4.1935
0.1262,207.5,870.1512,4.1935
0.1264,237,993.8595,4.1935
0.1266,260,1089.5299,4.1905
0.1268,318.5,1335.6298,4.1935
0.1270,298,1249.663,4.1935
0.1272,317.5,1330.0076,4.189
0.1274,516,2164.6201,4.195
0.1276,431,1807.3986,4.1935
0.1278,404,1693.77,4.1925
0.1280,584,2449.0039,4.1935
0.1282,533,2233.27,4.19
0.1284,542,2272.335,4.1925
0.1286,468.5,1963.015,4.19
0.1288,540.5,2266.0464,4.1925
0.1290,514.5,2155.7551,4.19
0.1292,679.5,2848.1243,4.1915
0.1294,715.5,3002.238,4.196
0.1296,441,1849.3335,4.1935
0.1298,283,1186.4775,4.1925
0.1300,279.5,1172.0833,4.1935
0.1302,254,1065.149,4.1935
0.1304,258.5,1082.4688,4.1875
0.1306,490.5,2056.9119,4.1935
0.1308,414,1735.6951,4.1925
0.1310,334.5,1402.7257,4.1935
0.1312,440,1845.3599,4.194
0.1314,449.5,1885.6526,4.195
0.1316,354,1484.145,4.1925
0.1318,369,1546.6636,4.1915
0.1320,513,2150.7524,4.1925
0.1322,538.5,2257.1228,4.1915
0.1324,640,2681.9199,4.1905
0.1326,707.5,2969.7314,4.1975
0.1328,422.5,1771.3313,4.1925
0.1330,411.5,1726.2426,4.195
0.1332,231.5,970.5638,4.1925
0.1334,212.5,891.225,4.194
0.1336,193,809.1525,4.1925
0.1338,215,901.6025,4.1935
0.1340,216,905.58,4.1925
0.1342,214.5,899.5057,4.1935
0.1344,185,775.4276,4.1915
0.1346,229.5,962.4083,4.1935
0.1348,244,1023.214,4.1935
0.1350,213,893.2155,4.1935
0.1352,176,737.44,4.19
0.1354,295.5,1239.1793,4.1935
0.1356,328,1375.468,4.1935
0.1358,321.5,1346.442,4.188
0.1360,519,2177.7241,4.196
0.1362,481.5,2019.1703,4.1935
0.1364,431,1806.9675,4.1925
