Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.046,381.5,1599.0574,4.195,0.000320078
0.0462,449.5,1885.2029,4.195,0.00037713
0.0464,409,1715.1415,4.195,0.000343151
0.0466,403.5,1692.0773,4.195,0.000338536
0.0468,410,1719.5399,4.195,0.00034399
0.047,358.5,1503.3698,4.195,0.000300781
0.0472,357.5,1499.1763,4.195,0.000299942
0.0474,362,1518.047,4.195,0.000303718
0.0476,411.5,1725.6252,4.195,0.000345248
0.0478,405,1698.3676,4.195,0.000339795
0.048,401,1681.5935,4.195,0.000336439
0.0482,417.5,1750.7863,4.195,0.000350282
0.0484,368,1542.8401,4.195,0.000308752
0.0486,401,1681.5935,4.195,0.000336439
0.0488,405.5,1700.4642,4.195,0.000340214
0.049,400.5,1679.4968,4.195,0.000336019
0.0492,391,1639.6586,4.195,0.000328049
0.0494,411,1723.5286,4.195,0.000344829
0.0496,432,1811.8079,4.195,0.000362448
0.0498,404.5,1695.8663,4.195,0.000339376
0.05,379,1589.3365,4.195,0.000317981
0.0502,424,1778.0441,4.195,0.000355736
0.0504,389.5,1632.9788,4.195,0.00032679
0.0506,409.5,1717.2383,4.195,0.00034357
0.0508,411.5,1725.6252,4.195,0.000345248
0.051,382.5,1604.0138,4.195,0.000320918
0.0512,410,1718.925,4.195,0.00034399
0.0514,432.5,1814.3375,4.195,0.000362867
0.0516,370,1551.595,4.195,0.00031043
0.0518,398,1669.2119,4.195,0.000333922
0.052,405,1698.3676,4.195,0.000339795
0.0522,388,1627.078,4.195,0.000325532
0.0524,364,1526.434,4.195,0.000305396
0.0526,369,1547.4015,4.195,0.000309591
0.0528,379.5,1591.4332,4.195,0.0003184
0.053,389.5,1632.9788,4.195,0.00032679
0.0532,399,1673.2065,4.195,0.000334761
0.0534,353,1480.3055,4.195,0.000296167
0.0536,378.5,1586.8613,4.195,0.000317561
0.0538,410.5,1721.637,4.195,0.000344409
0.054,352.5,1477.8563,4.195,0.000295747
0.0542,381.5,1600.3926,4.195,0.000320078
0.0544,359.5,1507.2037,4.195,0.000301621
0.0546,405,1698.3676,4.195,0.000339795
0.0548,360,1509.66,4.195,0.00030204
0.055,359.5,1507.5632,4.195,0.00030162
0.0552,382.5,1603.6313,4.195,0.000320917
0.0554,420.5,1762.9463,4.195,0.000352799
0.0556,435,1824.1725,4.195,0.000364965
0.0558,414.5,1738.2058,4.195,0.000347765
0.056,388.5,1629.1748,4.195,0.000325951
0.0562,390,1635.465,4.195,0.00032721
0.0564,382.5,1604.205,4.195,0.000320917
0.0566,367.5,1540.7438,4.195,0.000308333
0.0568,391.5,1641.7552,4.195,0.000328468
0.057,377,1580.5725,4.195,0.000316303
0.0572,379.5,1591.0538,4.195,0.0003184
0.0574,364.5,1528.5308,4.195,0.000305815
0.0576,383.5,1607.8239,4.195,0.000321756
0.0578,389,1630.8826,4.195,0.000326371
0.058,388,1627.2719,4.195,0.000325532
0.0582,369,1547.4015,4.195,0.000309591
0.0584,373.5,1566.2722,4.195,0.000313366
0.0586,377.5,1583.0463,4.195,0.000316722
0.0588,378.5,1587.2397,4.195,0.000317561
0.059,375.5,1574.6593,4.195,0.000315045
0.0592,369,1547.0326,4.195,0.000309591
0.0594,381.5,1599.8203,4.195,0.000320078
0.0596,384.5,1612.4008,4.195,0.000322595
0.0598,382,1601.535,4.195,0.000320498
0.06,368,1543.208,4.195,0.000308752
0.0602,386,1618.3051,4.195,0.000323854
0.0604,392,1643.8521,4.195,0.000328888
0.0606,380,1593.53,4.195,0.00031882
0.0608,368,1543.208,4.195,0.000308752
0.061,383.5,1608.2073,4.195,0.000321756
0.0612,387.5,1624.9813,4.195,0.000325113
0.0614,377.5,1583.0463,4.195,0.000316722
0.0616,367,1539.0145,4.195,0.000307913
0.0618,384,1610.304,4.195,0.000322176
0.062,385,1614.6899,4.195,0.000323015
0.0622,380,1593.53,4.195,0.00031882
0.0624,364,1526.434,4.195,0.000305396
0.0626,376,1576.756,4.195,0.000315464
0.0628,375,1572.5625,4.195,0.000314625
0.063,379,1588.9575,4.195,0.000317981
0.0632,421.5,1767.1388,4.195,0.000353638
0.0634,440.5,1846.7963,4.195,0.00036958
0.0636,455,1908.0425,4.195,0.000381745
0.0638,449.5,1884.9783,4.195,0.000377131
0.064,435.5,1825.8337,4.195,0.000365384
0.0642,456,1911.78,4.195,0.000382584
0.0644,485,2033.8475,4.195,0.000406915
0.0646,474.5,1989.8158,4.195,0.000398105
0.0648,454,1903.849,4.195,0.000380906
0.065,463.5,1943.2238,4.195,0.000388876
0.0652,538.5,2259.0076,4.195,0.000451802
0.0654,512.5,2148.6562,4.195,0.000429988
0.0656,460.5,1930.6464,4.195,0.000386359
0.0658,475,1991.9125,4.195,0.000398525
0.066,503,2109.3306,4.195,0.000422017
0.0662,469.5,1968.8483,4.195,0.000393911
0.0664,470,1970.4751,4.195,0.00039433
0.0666,479.5,2010.3038,4.195,0.0004023
0.0668,490,2055.0598,4.195,0.00041111
0.067,468,1962.0901,4.195,0.000392652
0.0672,489,2050.6216,4.195,0.000410271
0.0674,475,1992.1499,4.195,0.000398525
0.0676,464.5,1947.8807,4.195,0.000389716
0.0678,493,2067.3955,4.195,0.000413627
0.068,494.5,2073.6858,4.195,0.000414885
0.0682,448,1878.688,4.195,0.000375872
0.0684,400,1677,4.195,0.0003356
0.0686,405.5,1700.4642,4.195,0.000340215
0.0688,401.5,1683.8909,4.195,0.000336859
0.069,354.5,1486.5958,4.195,0.000297425
0.0692,371,1555.9739,4.195,0.000311269
0.0694,363,1521.8776,4.195,0.000304557
0.0696,369.5,1549.4983,4.195,0.000310011
0.0698,347.5,1457.2412,4.195,0.000291553
0.07,361,1513.8535,4.195,0.000302879
0.0702,368,1543.208,4.195,0.000308752
0.0704,373.5,1566.2722,4.195,0.000313366
0.0706,377.5,1583.0463,4.195,0.000316723
0.0708,393.5,1650.1422,4.195,0.000330146
0.071,397.5,1666.9163,4.195,0.000333503
0.0712,388,1627.078,4.195,0.000325532
0.0714,372.5,1562.0787,4.195,0.000312527
0.0716,368.5,1545.3048,4.195,0.000309172
0.0718,384.5,1612.4008,4.195,0.000322595
0.072,381.5,1600.0109,4.195,0.000320079
0.0722,369,1547.4015,4.195,0.000309591
0.0724,367,1539.0145,4.195,0.000307913
0.0726,381,1597.7235,4.195,0.000319659
0.0728,380,1593.15,4.195,0.00031882
0.073,375,1572.7499,4.195,0.000314625
0.0732,359.5,1507.5632,4.195,0.000301621
0.0734,386,1618.691,4.195,0.000323854
0.0736,381,1597.7235,4.195,0.000319659
0.0738,380,1593.53,4.195,0.00031882
0.074,360.5,1511.7567,4.195,0.00030246
0.0742,386.5,1620.7877,4.195,0.000324273
0.0744,377.5,1583.0463,4.195,0.000316723
0.0746,369.5,1549.4983,4.195,0.000310011
0.0748,352.5,1478.2087,4.195,0.000295747
0.075,364.5,1528.5308,4.195,0.000305816
0.0752,369.5,1549.1288,4.195,0.00031001
0.0754,398.5,1671.7075,4.195,0.000334342
0.0756,392,1643.0681,4.195,0.000328888
0.0758,476,1996.1061,4.195,0.000399364
0.076,467,1956.9634,4.195,0.000391813
0.0762,574.5,2409.1658,4.195,0.000482005
0.0764,583,2444.2275,4.195,0.000489137
0.0766,614,2574.8091,4.195,0.000515146
0.0768,546,2289.6511,4.195,0.000458094
0.077,557,2335.2227,4.195,0.000467323
0.0772,548,2298.0381,4.195,0.000459772
0.0774,566,2372.9551,4.195,0.000474874
0.0776,620.5,2602.377,4.195,0.000520599
0.0778,563,2360.9404,4.195,0.000472357
0.078,554.5,2324.1868,4.195,0.000465226
0.0782,632,2650.6079,4.195,0.000530248
0.0784,607,2544.8477,4.195,0.000509273
0.0786,557.5,2337.8762,4.195,0.000467742
0.0788,554,2323.199,4.195,0.000464806
0.079,515,2159.6526,4.195,0.000432085
0.0792,474.5,1990.5276,4.195,0.000398105
0.0794,448,1879.3601,4.195,0.000375872
0.0796,439.5,1843.7025,4.195,0.00036874
0.0798,420.5,1763.9976,4.195,0.0003528
0.08,425,1782.8751,4.195,0.000356575
0.0802,423.5,1776.5825,4.195,0.000355317
0.0804,429.5,1801.1083,4.195,0.000360351
0.0806,430,1803.2051,4.195,0.00036077
0.0808,409.5,1717.2383,4.195,0.000343571
0.081,418,1752.4651,4.195,0.000350702
0.0812,411.5,1725.8309,4.195,0.000345249
0.0814,389.5,1632.9788,4.195,0.000326791
0.0816,403.5,1691.6738,4.195,0.000338536
0.0818,421.5,1767.5603,4.195,0.000353639
0.082,423,1774.0619,4.195,0.000354897
0.0822,380.5,1595.6267,4.195,0.00031924
0.0824,406,1702.561,4.195,0.000340634
0.0826,422,1769.657,4.195,0.000354058
0.0828,422,1769.657,4.195,0.000354058
0.083,397.5,1666.9163,4.195,0.000333502
0.0832,405.5,1700.4642,4.195,0.000340215
0.0834,414,1736.109,4.195,0.000347346
0.0836,420,1761.27,4.195,0.00035238
0.0838,405,1698.3676,4.195,0.000339795
0.084,400.5,1679.6969,4.195,0.000336019
0.0842,414,1736.109,4.195,0.000347346
0.0844,414.5,1738.2058,4.195,0.000347765
0.0846,447,1874.4945,4.195,0.000375033
0.0848,486,2038.2839,4.195,0.000407754
0.085,482.5,2023.3638,4.195,0.000404817
0.0852,477,1998.63,4.195,0.000400203
0.0854,581,2436.4236,4.195,0.000487459
0.0856,437.5,1834.2188,4.195,0.000367063
0.0858,501,2100.9436,4.195,0.000420339
