Time (s),Main Avg Current (mA),Main Avg Power (mW),,
0.0548,289,1211.9215,4.195,0.000242471
0.055,298.5,1251.7598,4.195,0.000250441
0.0552,284,1190.954,4.195,0.000238276
0.0554,264,1107.084,4.195,0.000221496
0.0556,263,1102.8905,4.195,0.000220657
0.0558,277.5,1163.6963,4.195,0.000232822
0.056,282,1182.7079,4.195,0.000236598
0.0562,249,1044.1815,4.195,0.000208911
0.0564,259.5,1088.3429,4.195,0.00021772
0.0566,257.5,1079.8263,4.195,0.000216043
0.0568,251,1052.6938,4.195,0.000210589
0.057,237.5,995.7188,4.195,0.000199262
0.0572,262,1098.8279,4.195,0.000219818
0.0574,255.5,1071.4392,4.195,0.000214364
0.0576,254,1065.276,4.195,0.000213106
0.0578,239,1002.2465,4.195,0.000200521
0.058,258.5,1084.0198,4.195,0.000216881
0.0582,272,1140.632,4.195,0.000228208
0.0584,262.5,1100.7937,4.195,0.000220237
0.0586,231.5,970.7953,4.195,0.000194228
0.0588,252.5,1058.8588,4.195,0.000211847
0.059,265.5,1113.3743,4.195,0.000222755
0.0592,282,1182.567,4.195,0.000236598
0.0594,261.5,1096.3387,4.195,0.000219398
0.0596,293,1228.6956,4.195,0.000245827
0.0598,304,1274.824,4.195,0.000255056
0.06,301,1262.2435,4.195,0.000252539
0.0602,272,1140.36,4.195,0.000228208
0.0604,294.5,1234.6913,4.195,0.000247085
0.0606,327.5,1373.3712,4.195,0.000274772
0.0608,334,1401.13,4.195,0.000280226
0.061,293,1229.135,4.195,0.000245827
0.0612,286,1199.3411,4.195,0.000239954
0.0614,319,1337.7266,4.195,0.000267641
0.0616,320.5,1344.0167,4.195,0.000268899
0.0618,305,1279.0175,4.195,0.000255895
0.062,296,1241.276,4.195,0.000248344
0.0622,297.5,1247.5663,4.195,0.000249602
0.0624,316.5,1327.4009,4.195,0.000265544
0.0626,299.5,1255.9532,4.195,0.00025128
0.0628,269.5,1130.1483,4.195,0.000226111
0.063,283,1186.4775,4.195,0.000237437
0.0632,287.5,1205.6312,4.195,0.000241212
0.0634,279.5,1172.0833,4.195,0.000234501
0.0636,268.5,1125.6863,4.195,0.000225271
0.0638,287,1203.5345,4.195,0.000240793
0.064,289.5,1214.0183,4.195,0.00024289
0.0642,284.5,1193.193,4.195,0.000238696
0.0644,270.5,1134.3418,4.195,0.00022695
0.0646,298.5,1251.7598,4.195,0.000250441
0.0648,288,1207.728,4.195,0.000241632
0.065,283,1186.7605,4.195,0.000237437
0.0652,273,1144.8256,4.195,0.000229047
0.0654,280,1173.9,4.195,0.00023492
0.0656,290.5,1218.2118,4.195,0.000243729
0.0658,280.5,1176.2767,4.195,0.00023534
0.066,251.5,1054.4138,4.195,0.000211008
0.0662,268,1123.858,4.195,0.000224852
0.0664,284,1190.67,4.195,0.000238276
0.0666,304,1274.824,4.195,0.000255056
0.0668,291,1220.745,4.195,0.000244149
0.067,276.5,1159.641,4.195,0.000231983
0.0672,271,1136.4385,4.195,0.000227369
0.0674,288.5,1209.9689,4.195,0.000242051
0.0676,278.5,1168.3075,4.195,0.000233662
0.0678,259.5,1088.3429,4.195,0.000217721
0.068,228,956.118,4.195,0.000191292
0.0682,219,918.486,4.195,0.000183741
0.0684,243.5,1021.1172,4.195,0.000204296
0.0686,261.5,1096.6002,4.195,0.000219399
0.0688,284.5,1193.0508,4.195,0.000238696
0.069,286.5,1201.4377,4.195,0.000240373
0.0692,264.5,1109.1808,4.195,0.000221916
0.0694,246.5,1033.6978,4.195,0.000206813
0.0696,276.5,1159.5028,4.195,0.000231984
0.0698,285.5,1197.2443,4.195,0.000239535
0.07,299,1254.006,4.195,0.000250861
0.0702,278,1165.515,4.195,0.000233242
0.0704,311.5,1306.2753,4.195,0.000261348
0.0706,309,1295.4825,4.195,0.000259251
0.0708,311,1304.334,4.195,0.000260929
0.071,277,1161.5995,4.195,0.000232403
0.0712,318,1333.2151,4.195,0.000266802
0.0714,369,1547.4015,4.195,0.000309591
0.0716,374.5,1570.4658,4.195,0.000314206
0.0718,353.5,1482.4022,4.195,0.000296586
0.072,365,1530.6276,4.195,0.000306235
0.0722,342,1434.177,4.195,0.000286938
0.0724,304,1275.28,4.195,0.000255056
0.0726,281.5,1180.4702,4.195,0.000236179
0.0728,291,1220.0176,4.195,0.000244149
0.073,298,1249.663,4.195,0.000250022
0.0732,223,935.1505,4.195,0.000187097
0.0734,207.5,870.2549,4.195,0.000174092
0.0736,206,863.9639,4.195,0.000172834
0.0738,220,922.57,4.195,0.00018458
0.074,220.5,924.6667,4.195,0.000185
0.0742,209.5,878.6429,4.195,0.00017577
0.0744,203,851.382,4.195,0.000170317
0.0746,219.5,920.4733,4.195,0.000184161
0.0748,220.5,924.6667,4.195,0.000184999
0.075,213,893.322,4.195,0.000178707
0.0752,204,855.474,4.195,0.000171156
0.0754,215.5,903.6993,4.195,0.000180805
0.0756,220.5,924.6667,4.195,0.000185
0.0758,214,897.409,4.195,0.000179546
0.076,199.5,836.4037,4.195,0.000167381
0.0762,229.5,962.4083,4.195,0.00019255
0.0764,242.5,1016.9238,4.195,0.000203458
0.0766,239.5,1004.3433,4.195,0.00020094
0.0768,220,922.57,4.195,0.00018458
